TEAM,predicted_seed_with_update
Oregon,1.0
Auburn,1.0
Alabama,1.0
Kansas,1.0
Duke,2.0
Purdue,2.0
Marquette   (H) 39 Wisconsin,2.0
Memphis,2.0
Iowa St.,3.0
Tennessee,3.0
Florida,3.0
Gonzaga   vs. 9 Kentucky,3.0
Kentucky   vs. 5 Gonzaga,4.0
Mississippi St.,4.0
Mississippi   (H) 342 Lindenwood,4.0
Houston   (H) 65 Butler,4.0
Wisconsin   (A) 13 Marquette,5.0
Pittsburgh   (A) 124 Virginia Tech,5.0
Michigan   (H) 45 Iowa,5.0
Michigan St.   (H) 41 Nebraska,5.0
St. John's   (H) 52 Kansas St.,6.0
Indiana,6.0
Clemson   (A) 78 Miami FL,6.0
North Carolina   (H) 107 Georgia Tech,6.0
Iowa   (A) 22 Michigan,7.0
Texas A&M,7.0
Texas,7.0
Texas Tech,7.0
UCLA,8.0
Oklahoma   (H) 351 Alcorn St.,8.0
Baylor,8.0
Arizona St.,8.0
Cincinnati,9.0
Maryland,9.0
Penn St.,9.0
Illinois,9.0
Louisville,10.0
Nebraska   (A) 30 Michigan St.,10.0
New Mexico   (H) 206 New Mexico St.,10.0
Vanderbilt,10.0
Georgia,11.0
Arizona   (H) 212 Southern Utah,11.0
West Virginia,11.0
Arkansas   (H) 243 UTSA,11.0
UC Irvine,11.0
San Diego St.   (H) 314 San Diego,11.0
Creighton   (H) 98 UNLV,12.0
Rutgers   (A) 35 Ohio St.,12.0
Northwestern,12.0
Utah St.   (H) 316 Utah Tech,12.0
Saint Mary's   (A) 64 Utah,13.0
Dayton   (H) 256 Lehigh,13.0
Wichita St.   (H) 166 East Tennessee St.,13.0
Washington St.   vs. 48 Boise St.,13.0
VCU,14.0
UCF,14.0
Virginia   (A) 58 SMU,14.0
Ohio St.   (H) 46 Rutgers,14.0
Nevada   (A) 189 Loyola Marymount,15.0
BYU,15.0
LSU,15.0
Liberty   (H) 364 Mississippi Valley St.,15.0
Boise St.   vs. 71 Washington St.,16.0
Washington   (H) 100 USC,16.0
North Texas,16.0
Bradley,16.0
Wake Forest   (H) 153 Boston College,16.0
San Francisco,16.0
