TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed_with_update,predicted_postseason_label,predicted_postseason_description
Auburn,SEC,8,126.51,96.43,0.95774,59.76,46.66,13.82,14.9314,33.595,26.464,28.1296,32.6156,63.24,44.129,36.768,35.0251,68.1165,3.02,6.8160305407396455,1.0,1.0,0,Winner
Alabama,SEC,9,122.43,96.631,0.93838,55.155,45.442,16.9129,13.6338,34.368,29.1158,42.838,36.3237,60.311,47.177,33.0174,27.927,73.65,2.64,7.1393917691000395,4.0,1.0,3,Elite Eight
Oregon,B10,9,115.236,97.137,0.877627,51.714,45.544,15.365,18.9112,34.464,30.5208,38.276,27.571,53.0134,46.972,33.0174,29.148,68.1163,3.21,7.111224599075663,3.0,1.0,4,Sweet Sixteen
Marquette   (H) 40 Wisconsin (won),BE,10,117.121,95.418,0.914111,55.547,49.6152,13.38,24.46,30.0176,28.6133,28.529,28.991,59.52,51.2183,33.9142,31.6122,69.4104,2.55,6.936683745384224,2.0,1.0,6,Round of 64
Duke,ACC,8,119.48,89.51,0.96492,55.644,42.41,15.469,20.37,33.691,26.049,29.1279,26.049,56.357,41.58,36.672,29.253,67.1224,1.323,7.856949149898641,6.0,2.0,2,Final Four
Kansas,B12,8,119.57,94.19,0.93987,55.842,46.864,13.17,18.6126,26.1278,23.314,21.3356,32.2148,57.736,47.788,34.612,30.588,69.5102,2.06,7.142836654395845,5.0,2.0,6,Round of 64
Purdue,B10,9,118.615,97.944,0.901017,58.017,48.712,18.6227,15.9261,29.8183,28.5129,47.014,27.978,55.282,52.2209,41.75,29.354,64.8322,1.614,7.91965287826091,7.0,2.0,6,Round of 64
Memphis,Amer,8,117.22,99.771,0.864736,55.644,52.223,18.6227,19.0107,31.8137,32.126,47.313,34.5204,49.5215,49.6151,45.52,37.1318,69.2116,2.63,7.92170753726192,8.0,2.0,6,Round of 64
Kentucky   vs. 5 Gonzaga,SEC,8,118.912,95.217,0.92789,58.017,42.513,13.717,15.3297,30.5165,24.219,32.3203,24.931,60.113,45.04,36.866,25.78,73.56,1.226,8.467878613282805,12.0,3.0,6,Round of 64
Tennessee,SEC,8,119.39,90.73,0.95933,60.52,41.96,18.2204,21.449,42.72,27.388,34.1159,25.136,63.72,43.324,37.457,26.916,66.3271,2.07,8.297557610386624,11.0,3.0,2,Final Four
Gonzaga   vs. 9 Kentucky,WCC,8,123.52,94.713,0.95515,55.45,45.134,12.95,18.8115,35.248,22.28,33.7171,31.0121,56.649,50.7175,35.495,24.52,70.366,1.811,7.9688681948463405,9.0,3.0,1,Runner-Up
Iowa St.,B12,7,119.21,93.56,0.94216,56.924,48.2108,13.411,22.523,30.317,26.049,42.342,27.978,60.015,48.411,34.2129,31.9134,69.698,1.224,8.22365834669105,10.0,3.0,6,Round of 64
Clemson   (A) 88 Miami FL (won),ACC,10,113.352,95.719,0.87483,53.294,46.864,15.679,21.546,35.74,28.6133,30.7249,26.353,50.5199,48.096,38.234,30.067,64.6329,2.08,8.951836710278162,16.0,4.0,4,Sweet Sixteen
Pittsburgh   (A) 126 Virginia Tech (won),ACC,10,115.434,97.741,0.871134,53.585,47.377,14.332,18.6126,30.8158,28.5129,32.8191,30.1107,57.245,48.3108,32.1215,30.485,68.3154,1.416,8.871203822105269,15.0,4.0,4,Sweet Sixteen
Florida,SEC,9,120.44,98.05,0.914112,54.765,43.419,14.125,19.79,40.68,29.9181,33.2185,26.251,58.231,42.418,33.6153,30.272,69.0125,1.91,8.517298546948735,13.0,4.0,6,Round of 64
Mississippi St.,SEC,8,118.714,97.035,0.910613,53.492,48.1101,12.84,21.449,35.642,27.594,30.3254,37.0249,55.867,45.343,33.2162,34.8243,69.3111,1.319,8.616850672004583,14.0,4.0,6,Round of 64
Wisconsin   (A) 11 Marquette (lost),B10,10,117.419,100.589,0.85674,53.196,47.893,14.332,16.3242,29.42,28.0113,38.869,29.9105,54.0103,50.417,34.7115,29.455,67.8194,1.027,9.15591704174655,20.0,5.0,6,Round of 64
Michigan   (H) 43 Iowa (won),B10,9,115.237,95.924,0.891322,57.322,42.41,21.4335,21.254,37.224,32.5277,33.518,25.136,60.78,41.79,35.21,29.148,69.3108,1.418,9.05794450771723,19.0,5.0,6,Round of 64
Houston   (H) 71 Butler (won),B12,8,120.16,89.92,0.96561,52.711,43.622,13.921,22.228,37.224,28.212,27.331,37.9263,46.729,41.06,43.33,31.0106,63.0359,-0.1272,9.002546070459502,18.0,5.0,3,Elite Eight
Michigan St.   (H) 49 Nebraska (won),B10,10,115.929,95.823,0.898419,52.9102,47.377,16.9129,17.2199,35.936,22.07,40.353,29.698,59.221,48.411,27.2341,30.485,68.3158,1.225,8.963836377351104,17.0,5.0,6,Round of 64
St. John's   (H) 54 Kansas St. (won),BE,9,115.83,94.61,0.910614,53.01,45.646,17.114,20.469,37.719,28.9151,32.5196,29.496,54.986,42.114,33.2162,33.9213,69.98,0.4448,9.410222438617701,23.0,6.0,4,Sweet Sixteen
North Carolina   (H) 104 Georgia Tech (won),ACC,9,116.326,98.351,0.874432,52.0132,49.7154,14.332,15.2302,27.7235,27.08,39.367,27.978,53.4122,48.612,33.0174,34.3229,73.64,0.0067,9.243283658144845,22.0,6.0,6,Round of 64
Mississippi   (H) 338 Lindenwood (won),SEC,9,119.011,100.894,0.870135,54.17,48.6113,11.51,23.114,29.5193,28.8147,35.3122,38.6281,53.7112,49.214,36.672,32.0138,67.4209,1.321,9.174913689759148,21.0,6.0,6,Round of 64
Indiana,B10,9,115.038,98.452,0.856141,55.842,46.254,19.628,17.0211,31.9135,30.1187,35.6117,24.627,56.26,46.262,36.574,30.9101,70.556,0.2753,9.752063875820525,24.0,6.0,6,Round of 64
Oklahoma   (H) 350 Alcorn St. (won),SEC,9,114.145,100.893,0.806758,56.232,48.712,16.3101,22.424,30.8158,31.4242,36.797,27.161,57.441,53.1238,36.574,28.642,67.9183,1.712,9.810403251547516,26.0,7.0,5,Round of 32
Texas Tech,B12,8,118.913,97.943,0.903316,59.58,48.1101,15.259,21.641,36.728,26.154,30.0259,32.2148,58.328,45.343,40.91,35.2258,66.5261,0.1257,9.93804427065648,28.0,7.0,6,Round of 64
Texas A&M,SEC,9,114.443,94.714,0.89712,47.2272,43.823,18.321,19.79,43.61,30.4201,43.826,32.816,49.4222,45.242,29.13,28.03,66.8243,0.933,9.798371684719484,25.0,7.0,6,Round of 64
Texas,SEC,8,114.839,95.72,0.890723,56.232,43.419,13.513,19.0107,29.8183,27.489,36.797,28.485,56.649,39.42,36.964,33.7204,67.4211,0.836,9.878616217401026,27.0,7.0,6,Round of 64
UCLA,B10,8,113.254,92.94,0.906315,52.8107,41.84,16.195,27.92,37.719,28.212,34.4149,31.2127,54.888,43.122,32.5198,26.713,66.7252,-0.077,10.083277433800834,31.0,8.0,4,Sweet Sixteen
Arizona St.,B12,9,112.461,99.16,0.809957,55.644,46.457,17.7179,15.5286,27.6242,26.976,42.741,26.86,52.8141,47.177,39.52,30.378,68.5147,1.99,9.973098706462515,29.0,8.0,5,Round of 32
Baylor,B12,8,120.25,100.483,0.888425,54.863,55.9331,16.297,22.033,39.512,31.3236,27.2312,34.9213,53.4122,52.9232,37.944,39.8353,65.6295,0.837,10.12823827955635,32.0,8.0,4,Sweet Sixteen
Saint Mary's   (A) 68 Utah (won),WCC,10,114.344,96.429,0.876128,51.4153,45.237,17.2146,17.2199,42.25,28.212,38.869,27.364,52.9138,43.927,32.2209,31.8127,64.3343,1.32,10.047820499843741,30.0,8.0,4,Sweet Sixteen
Iowa   (A) 22 Michigan (lost),B10,9,115.928,100.484,0.839543,56.924,51.0196,14.332,22.622,26.4271,32.126,27.0316,22.715,57.932,56.7321,36.964,27.419,72.418,0.2355,10.236273305171789,35.0,9.0,6,Round of 64
Illinois,B10,8,115.335,93.67,0.91641,53.682,40.61,14.947,14.6319,35.936,22.911,37.091,24.931,56.554,42.012,33.9142,25.14,71.434,0.1256,10.236119523697463,34.0,9.0,6,Round of 64
Penn St.,B10,9,114.64,98.047,0.858539,58.911,48.9124,16.9129,24.54,33.978,27.698,42.936,32.816,59.916,47.89,38.234,33.7204,72.514,0.741,10.161848927872802,33.0,9.0,6,Round of 64
Maryland,B10,9,113.946,94.08,0.901018,56.038,42.916,13.717,23.58,33.499,24.627,34.3152,28.789,60.113,43.122,33.2162,28.437,70.175,0.643,10.26515980512453,36.0,9.0,6,Round of 64
Nebraska   (A) 19 Michigan St. (lost),B10,8,110.486,96.633,0.822249,50.418,49.2133,15.469,22.327,28.721,28.1117,43.233,28.89,53.9105,48.2101,29.8287,33.3187,69.697,0.3451,10.441471803581312,39.0,10.0,6,Round of 64
Washington St.   vs. 60 Boise St. (won),WCC,10,110.683,98.048,0.799562,55.45,47.377,20.1303,17.0211,32.8112,29.8176,32.0214,32.4154,58.427,48.9132,34.5121,29.862,71.629,0.739,10.426675040449268,38.0,10.0,5,Round of 32
Cincinnati,B12,7,115.433,95.721,0.896121,59.29,40.61,13.513,17.4188,36.235,28.9151,21.3356,23.518,58.724,40.45,39.916,27.419,65.7291,0.415,10.365969686624101,37.0,10.0,6,Round of 64
Vanderbilt,SEC,9,116.524,103.1122,0.802161,54.961,48.6113,13.06,21.837,30.317,30.0184,33.9168,27.875,61.95,46.056,30.527,35.7285,70.653,0.838,10.496054401551214,40.0,10.0,5,Round of 32
San Diego St.   (H) 311 San Diego,MWC,7,108.2116,95.015,0.817851,51.5148,42.41,16.4109,15.628,26.8261,32.126,25.9323,35.7225,50.9186,39.11,35.1101,31.512,65.9287,1.028,10.573628565908004,44.0,11.0,6,Round of 64
Georgia,SEC,9,113.847,96.026,0.875729,56.43,44.426,19.829,18.0156,42.44,26.464,43.331,25.035,59.818,46.464,34.0137,27.522,67.421,1.322,10.683025547298197,45.0,11.0,6,Round of 64
Louisville,ACC,8,111.866,98.553,0.812355,50.418,48.5112,18.5224,23.411,36.827,30.1187,36.0109,31.7138,60.51,46.972,27.3337,33.9213,69.3114,-0.2375,10.556703048417738,43.0,11.0,5,Round of 32
UC Irvine,BW,9,106.2162,94.712,0.788566,51.8135,42.28,19.4271,16.5234,29.7188,22.28,34.6143,22.112,51.6169,41.911,34.7115,28.539,69.885,1.417,10.543570947174997,41.0,11.0,6,Round of 64
West Virginia,B12,8,111.571,97.946,0.816352,52.711,44.727,17.4157,20.37,27.7235,31.9257,30.7249,30.5113,52.5149,44.231,35.397,30.378,66.4266,1.032,10.555129547595074,42.0,11.0,6,Round of 64
Ohio St.   (H) 56 Rutgers (won),B10,9,115.632,97.842,0.872233,58.413,43.318,16.5113,17.7171,30.0176,26.976,32.5196,37.826,55.964,44.936,41.66,27.317,67.9181,0.0861,10.70033604438427,46.0,11.0,6,Round of 64
New Mexico   (H) 176 New Mexico St. (lost),MWC,10,111.67,99.564,0.789964,50.5177,51.8222,15.782,22.424,33.883,30.2193,40.451,36.424,49.5215,48.2101,35.0104,38.8346,74.73,0.644,10.749564154901641,47.0,12.0,5,Round of 32
Dayton   (H) 260 Lehigh (won),A10,10,116.922,101.5101,0.835244,58.116,49.515,13.38,16.1251,28.4221,23.616,42.936,30.1107,57.539,50.9179,39.223,31.4116,65.729,0.546,10.844096860635734,49.0,12.0,5,Round of 32
Creighton   (H) 102 UNLV (won),BE,10,114.441,96.734,0.874431,55.939,43.823,19.5277,12.2355,27.2254,26.464,31.1238,17.81,61.56,42.418,33.715,30.899,69.699,-0.1874,10.75432432974291,48.0,12.0,3,Elite Eight
Northwestern,B10,10,109.599,95.822,0.822548,48.922,48.1101,14.23,19.885,31.6142,25.133,35.412,30.8117,49.5215,49.6151,31.6234,30.588,64.7327,-0.0871,10.84791262923697,50.0,12.0,5,Round of 32
Arizona   (H) 216 Southern Utah (won),B12,8,115.731,96.428,0.890524,51.8135,48.3109,15.782,19.983,40.87,26.771,36.4101,32.4154,53.9105,44.129,31.6234,35.6278,72.32,-1.3128,10.85401645887464,51.0,13.0,6,Round of 64
Arkansas   (H) 241 UTSA (won),SEC,9,110.975,95.925,0.841442,56.826,47.275,17.4157,21.352,26.5269,22.911,30.7249,21.39,58.328,48.612,36.28,30.485,70.076,0.3352,10.963071242400401,53.0,13.0,5,Round of 32
Wichita St.   (H) 160 East Tennessee St.,Amer,8,107.6128,99.463,0.713793,48.4238,45.847,13.411,15.3297,24.6311,30.0184,39.859,26.251,50.9186,48.2101,28.7309,28.234,70.749,1.029,10.977026203913333,54.0,13.0,5,Round of 32
Utah St.   (H) 315 Utah Tech (won),MWC,9,113.749,99.975,0.815953,53.01,49.2133,16.6116,21.449,42.53,28.0113,40.255,24.426,55.769,52.1204,32.4203,30.378,69.311,1.613,10.901880137910059,52.0,13.0,4,Sweet Sixteen
