TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed_with_update,predicted_postseason_label,predicted_postseason_description
Arizona   (H) 212 Southern Utah,B12,7,115.232,96.633,0.883324,51.4152,48.8121,16.3105,19.497,40.11,26.255,34.0164,33.7189,53.9106,44.94,31.0253,35.6274,72.22,-1.4138,10.840207096157322,46.0,11.0,6,Round of 64
Georgia,SEC,9,113.748,95.923,0.876027,56.434,44.427,19.8284,18.0154,42.44,26.461,43.334,25.037,59.818,46.47,34.0135,27.522,67.5217,1.22,10.76447297471746,44.0,11.0,6,Round of 64
Creighton   (H) 98 UNLV,BE,9,113.946,96.429,0.872031,54.272,43.42,19.0246,12.3354,27.4248,27.077,31.7229,18.51,60.21,42.01,32.5194,30.695,69.6104,-0.3681,10.8487695882147,47.0,12.0,3,Elite Eight
Rutgers   (A) 35 Ohio St.,B10,8,113.749,99.266,0.827546,51.1161,49.2136,13.823,18.6127,30.3172,32.3268,41.946,32.3155,52.9136,48.3111,31.7229,33.7205,70.756,-0.9107,11.05751161260169,50.0,12.0,5,Round of 32
Northwestern,B10,10,109.596,95.924,0.821351,48.9222,48.1104,14.233,19.884,31.6139,25.137,35.4123,30.8116,49.5215,49.6148,31.6232,30.588,64.6337,-0.1469,10.901780900997098,48.0,12.0,5,Round of 32
Utah St.   (H) 316 Utah Tech,MWC,8,113.252,100.08,0.807761,52.7111,49.515,16.195,21.55,41.85,28.5127,40.357,25.339,54.2101,51.5192,33.316,31.2112,69.1126,1.512,10.952809507402739,49.0,12.0,4,Sweet Sixteen
Washington St.   vs. 48 Boise St.,WCC,9,110.184,98.961,0.774971,55.352,47.892,20.3306,17.3195,34.176,29.9182,32.122,32.6161,57.542,49.2138,35.2103,30.382,71.338,0.2054,11.154371785976082,53.0,13.0,5,Round of 32
Wichita St.   (H) 166 East Tennessee St.,Amer,8,107.4131,99.472,0.708195,48.4236,45.85,13.413,15.3288,24.6313,30.0187,39.863,26.251,50.9186,48.2107,28.7308,28.234,70.853,0.93,11.097841907878179,51.0,13.0,5,Round of 32
Dayton   (H) 256 Lehigh,A10,9,115.926,101.194,0.827147,56.632,50.1162,14.129,17.2203,31.0153,24.22,42.541,31.8144,58.133,52.3213,36.475,30.9104,66.2284,0.4346,11.143153678445954,52.0,13.0,5,Round of 32
Saint Mary's   (A) 64 Utah,WCC,9,114.044,97.037,0.863936,51.4152,45.749,16.9131,17.6179,43.91,27.385,38.675,27.467,53.5115,44.333,31.4238,32.3151,64.4344,0.737,11.167388699994444,54.0,13.0,6,Round of 64
VCU,A10,9,111.669,95.017,0.864434,53.396,41.66,19.1251,22.917,31.3143,30.4201,39.567,39.7293,57.542,39.74,32.9178,30.588,68.0187,-0.591,11.218247100166368,57.0,14.0,6,Round of 64
UCF,B12,8,109.299,99.878,0.738384,48.7226,49.2136,16.3105,18.6127,33.693,31.3237,40.456,27.467,48.6233,48.8123,32.6189,33.2193,70.662,-0.1068,11.194862368712812,56.0,14.0,5,Round of 32
Virginia   (A) 58 SMU,ACC,8,107.7124,98.454,0.738285,53.298,48.099,19.9288,15.6272,25.0302,28.814,26.1318,20.66,49.6212,45.449,38.729,34.2227,61.6363,-0.187,11.239935939364207,58.0,14.0,6,Round of 64
Ohio St.   (H) 46 Rutgers,B10,8,114.935,97.844,0.864435,58.215,42.717,16.5116,17.3195,29.221,26.564,33.7171,39.9297,54.694,44.94,42.45,26.311,68.7147,-0.2977,11.175593509065706,55.0,14.0,6,Round of 64
Nevada   (A) 189 Loyola Marymount,MWC,8,113.351,97.44,0.850244,57.819,45.647,17.4159,17.7171,30.4167,29.4162,45.223,38.026,54.694,44.94,42.83,31.1107,64.6338,0.2452,11.317334126701095,60.0,15.0,4,Sweet Sixteen
BYU,B12,8,116.821,99.573,0.863237,55.154,50.6177,15.048,19.594,38.815,18.61,29.4273,33.1173,57.937,46.061,34.7118,37.9332,68.7146,-0.368,11.342036893922526,61.0,15.0,6,Round of 64
LSU,SEC,8,110.086,98.351,0.784469,52.3119,42.01,18.8236,18.2147,36.727,35.533,38.578,29.8105,55.577,43.828,31.9223,25.79,68.5156,0.926,11.248337074128738,59.0,15.0,6,Round of 64
Liberty   (H) 364 Mississippi Valley St.,CUSA,9,108.8107,98.962,0.748079,58.812,47.789,19.1251,17.8166,24.8308,25.137,32.2215,27.98,59.12,50.016,38.924,28.545,63.9355,0.927,11.369758118707168,62.0,15.0,3,Elite Eight
Boise St.   vs. 71 Washington St.,MWC,8,114.44,99.979,0.826548,53.396,47.685,14.945,16.0252,32.6117,25.44,42.937,26.456,55.773,49.2138,32.6189,29.969,68.0188,-0.4386,11.562202382587529,66.0,16.0,5,Round of 32
Washington   (H) 100 USC,B10,8,107.5127,98.556,0.733786,46.1299,45.338,17.3156,17.9158,34.273,29.7178,44.527,32.4159,47.1275,45.858,29.1298,29.46,68.914,0.265,11.567865202564782,67.0,16.0,5,Round of 32
North Texas,Amer,9,106.0162,94.614,0.785668,47.1272,49.7158,17.5165,24.93,30.7162,26.874,35.113,49.4355,42.9341,52.7219,35.689,30.9104,64.534,-0.899,11.631293238499092,68.0,16.0,6,Round of 64
Bradley,MVC,9,113.154,101.7101,0.773173,61.21,46.662,18.6227,16.4238,28.2227,28.7133,33.7171,32.8165,55.478,49.3141,46.41,27.928,66.2287,0.4645,11.496038340013481,64.0,16.0,5,Round of 32
Wake Forest   (H) 153 Boston College,ACC,10,105.1175,96.026,0.739383,47.0274,45.338,18.5221,22.328,28.4222,31.9256,32.0221,27.774,53.6112,45.551,25.835,30.174,67.0243,-0.0766,11.415280453063062,63.0,16.0,5,Round of 32
San Francisco,WCC,9,111.077,97.036,0.825749,56.729,45.338,19.1251,22.036,32.2122,28.3121,35.7119,24.326,58.726,45.346,35.888,30.382,67.223,-0.1973,11.557501103149278,65.0,16.0,5,Round of 32
