TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
Cal Poly,BW,28,8,106.6,109.6,0.4223,48.0,53.2,15.1,15.9,30.1,28.3,35.2,40.2,44.9,50.0,35.4,40.0,67.3,-12.0,,
Cal St. Bakersfield,WAC,30,21,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38.0,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,R64,15.0
Cal St. Fullerton,BW,28,8,101.4,108.4,0.3165,46.4,50.7,19.0,16.4,29.7,29.0,43.7,39.7,44.4,48.1,33.3,36.6,69.5,-13.7,,
Cal St. Northridge,BW,28,8,99.2,105.8,0.323,46.7,51.7,19.4,18.9,27.6,31.3,42.1,36.0,47.1,47.8,30.2,39.7,71.3,-13.4,,
California,P12,34,23,112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,2.2,R64,4.0
Campbell,BSth,27,9,99.6,113.1,0.1871,49.5,53.5,16.4,18.9,22.0,30.6,41.4,39.3,50.7,52.1,31.7,37.8,69.2,-15.1,,
Canisius,MAAC,33,14,106.6,113.3,0.3338,49.0,54.9,15.9,19.6,31.0,32.8,36.9,39.0,47.5,53.6,34.1,38.0,68.5,-13.7,,
Central Arkansas,Slnd,28,7,99.8,117.8,0.1291,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,47.4,51.5,37.2,38.7,72.9,-16.0,,
Central Connecticut,NEC,29,4,92.5,118.0,0.057,44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,42.3,53.2,34.2,35.9,68.4,-21.9,,
Central Michigan,MAC,30,14,110.3,108.3,0.5524,51.7,51.0,13.6,15.9,26.5,31.5,30.0,35.2,50.8,50.7,35.2,34.4,67.4,-9.2,,
