TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed_with_update,predicted_postseason_label,predicted_postseason_description
Duke,ACC,8,119.56,89.31,0.96631,55.644,42.414,15.464,20.374,33.694,26.049,29.1278,26.046,56.363,41.59,36.672,29.257,67.3225,1.219,6.970547710024753,4.0,1.0,2,Final Four
Alabama,SEC,9,122.23,96.529,0.93828,55.154,45.443,16.9132,13.6339,34.37,29.115,42.838,36.3234,60.38,47.183,33.0176,27.928,73.66,2.53,6.241863290201723,2.0,1.0,6,Round of 64
Auburn,SEC,8,126.31,96.227,0.95794,59.76,46.662,13.823,14.9307,33.597,26.462,28.1294,32.6159,63.24,44.13,36.768,35.0246,68.1178,2.92,6.074026297057812,1.0,1.0,1,Runner-Up
Kansas,B12,8,119.37,94.07,0.93947,55.841,46.866,13.17,18.6127,26.1277,23.313,21.3357,32.2147,57.739,47.794,34.6122,30.59,69.5105,1.97,6.966172372029327,3.0,1.0,6,Round of 64
Marquette,BE,9,115.729,94.61,0.909613,55.449,49.0127,13.925,24.45,29.5197,27.8109,27.9297,28.387,59.022,51.0182,34.2128,30.799,70.277,2.15,7.613181889034392,8.0,2.0,4,Sweet Sixteen
Oregon,B10,9,115.235,97.238,0.875627,51.7137,45.545,15.357,18.9115,34.468,30.5205,38.282,27.571,53.0132,46.975,33.0176,29.153,68.3166,3.11,7.454725158877219,5.0,2.0,4,Sweet Sixteen
Gonzaga,WCC,8,123.42,94.814,0.95445,55.449,45.135,12.95,18.8118,35.255,22.28,33.7173,31.0121,56.656,50.7177,35.496,24.53,70.37,1.71,7.52137591336215,6.0,2.0,6,Round of 64
Tennessee,SEC,8,119.28,90.63,0.95943,60.52,41.99,18.2203,21.453,42.73,27.385,34.1162,25.135,63.72,43.325,37.456,26.918,66.4276,1.96,7.537822795215604,7.0,2.0,6,Round of 64
Kentucky,SEC,8,118.812,95.218,0.92739,58.017,42.516,13.72,15.3287,30.5164,24.222,32.3214,24.932,60.111,45.043,36.865,25.79,73.57,1.221,8.11702011799217,11.0,3.0,0,Winner
Florida,SEC,9,120.54,97.942,0.916211,54.769,43.42,14.13,19.786,40.68,29.9182,33.2189,26.251,58.231,42.417,33.6154,30.278,68.9134,1.98,8.226595884419392,12.0,3.0,6,Round of 64
Iowa St.,B12,7,119.111,93.66,0.94086,56.927,48.2109,13.413,22.524,30.317,26.049,42.342,27.981,60.014,48.4114,34.2128,31.9135,69.5106,1.123,8.022309598651056,9.0,3.0,6,Round of 64
Memphis,Amer,8,117.119,99.876,0.862738,55.644,52.2229,18.6228,19.0109,31.8134,32.126,47.313,34.5204,49.5216,49.6148,45.52,37.1315,69.4109,2.54,8.07878432345528,10.0,3.0,6,Round of 64
Mississippi St.,SEC,8,118.614,96.833,0.911712,53.496,48.1103,12.84,21.453,35.647,27.598,30.3252,37.0244,55.871,45.346,33.2168,34.824,69.411,1.317,8.523851048720028,15.0,4.0,4,Sweet Sixteen
