TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed,predicted_postseason_label,predicted_postseason_description
Mississippi,SEC,4,116.214,100.287,0.846941,49.2208,48.8144,12.18,24.619,29.3198,22.73,37.3131,32.2153,46.3267,45.885,35.2127,35.3248,69.0248,0.4629,8.391466,2.0,1.0,6,Round of 64
Saint Mary's,WCC,4,114.831,98.665,0.851238,53.6111,49.8166,14.768,15.5261,45.44,27.7127,43.96,31.6143,54.1117,45.885,35.0135,38.5309,65.9358,0.89,8.038424,1.0,1.0,6,Round of 64
BYU,B12,4,116.018,97.751,0.877725,59.818,49.3153,13.539,22.243,40.319,16.75,27.7279,25.461,64.611,43.05,36.2108,37.3293,71.0105,0.2253,8.505605,3.0,1.0,6,Round of 64
Florida   (H) 360 Florida A&M,SEC,4,116.019,98.46,0.868833,56.548,46.49,17.5157,20.683,40.813,30.2195,41.282,22.937,66.08,43.556,28.7271,34.9238,72.153,0.81,8.726513,4.0,1.0,6,Round of 64
Memphis,Amer,3,114.535,97.752,0.860334,59.126,48.3126,19.5251,18.2164,29.3198,26.396,43.564,34.4188,52.2161,45.073,49.11,35.0239,73.614,0.97,8.747872,5.0,2.0,2,Final Four
St. John's,BE,4,114.93,94.712,0.902716,55.76,43.343,18.8217,20.974,39.031,29.1169,36.8141,28.589,58.846,41.732,33.3158,30.5124,70.7125,0.524,8.89636,7.0,2.0,6,Round of 64
Michigan,B10,4,116.016,97.853,0.877727,64.45,42.028,24.6346,20.489,40.22,32.5253,33.22,23.544,66.47,43.05,41.323,26.743,70.8124,-0.099,8.837068,6.0,2.0,6,Round of 64
Ohio St.   (H) 256 Evansville,B10,3,115.228,97.245,0.875229,53.7107,38.14,19.3245,15.9249,32.3128,33.1266,28.0275,47.7324,48.4233,37.78,40.031,25.728,69.3225,0.526,8.9031925,8.0,2.0,4,Sweet Sixteen
Miami FL,ACC,3,118.28,99.676,0.877028,66.02,49.4155,11.44,16.7221,32.612,17.67,27.229,36.6215,67.25,50.5169,42.716,31.7158,70.3161,0.0583,8.918506,9.0,3.0,6,Round of 64
Pittsburgh,ACC,5,114.534,96.939,0.872132,59.028,40.617,12.719,18.9135,29.918,23.744,35.6157,29.2105,61.525,40.42,37.086,27.354,69.521,0.527,8.971502,12.0,3.0,6,Round of 64
Tennessee,SEC,4,115.422,91.54,0.93517,65.43,42.129,20.0265,19.6109,39.229,25.785,41.58,27.982,67.16,43.154,41.62,27.559,70.0172,0.812,8.969528,11.0,3.0,6,Round of 64
Oregon,B10,4,113.243,96.837,0.857936,52.4133,44.557,15.277,19.0132,34.878,22.935,35.9151,22.429,57.17,48.212,29.9244,26.641,69.6197,0.384,8.955598,10.0,3.0,6,Round of 64
Kentucky   (H) 122 Lipscomb,SEC,3,116.017,95.619,0.902417,57.54,43.241,14.561,14.5295,33.61,25.066,28.5272,16.53,55.793,46.999,40.031,25.016,73.124,0.95,9.221745,13.0,4.0,6,Round of 64
Boise St.,MWC,4,112.748,98.358,0.828947,51.7146,42.935,12.719,14.2304,33.797,29.7183,41.282,25.461,53.8123,47.01,31.7205,24.314,68.7266,-0.0186,9.374647,16.0,4.0,6,Round of 64
Gonzaga,WCC,4,122.61,95.722,0.94563,57.935,44.761,12.311,19.7106,37.149,22.124,35.0167,29.7112,59.241,49.0138,37.183,25.321,71.768,1.51,9.245642,14.0,4.0,1,Runner-Up
Indiana,B10,3,115.721,97.75,0.87493,61.211,41.926,18.018,18.9135,28.4218,28.1137,36.5144,23.646,62.218,43.154,39.241,26.743,71.294,0.4039,9.34794,15.0,4.0,3,Elite Eight
Mississippi St.,SEC,4,115.92,97.143,0.884324,55.564,44.253,12.311,23.63,32.7119,30.32,32.0218,32.5158,59.44,43.86,33.3158,30.0111,70.6139,0.622,9.585346,17.0,5.0,4,Sweet Sixteen
Texas,SEC,4,116.215,96.026,0.899319,59.522,43.139,11.55,20.877,33.111,22.426,42.97,27.982,60.131,36.63,38.851,34.7233,69.819,-0.37129,9.634565,19.0,5.0,6,Round of 64
Wisconsin,B10,5,115.325,99.98,0.838944,56.449,49.8166,13.333,19.2125,28.4218,28.7156,46.041,27.07,54.7107,48.212,39.146,34.6231,68.5281,0.811,9.627989,18.0,5.0,5,Round of 32
Kansas   (H) 172 UNC Wilmington,B12,4,119.43,93.98,0.94085,56.745,44.557,12.415,17.6187,25.4272,24.864,26.0302,31.0131,56.975,47.4105,37.571,26.438,71.577,1.32,9.680401,20.0,5.0,3,Elite Eight
Iowa   (H) 233 Rider,B10,4,115.423,100.592,0.829646,58.332,49.8166,16.412,22.05,29.3198,30.2195,27.5283,18.05,57.965,55.7271,39.241,27.253,73.417,0.528,9.769653,22.0,6.0,6,Round of 64
Nevada,MWC,4,112.351,96.127,0.858035,60.116,40.92,14.458,17.8179,32.2135,30.1193,55.612,38.7238,53.3137,41.835,48.62,26.234,67.6321,0.719,9.895521,24.0,6.0,6,Round of 64
Texas Tech,B12,4,117.911,96.733,0.907513,67.51,46.181,17.6161,24.816,40.023,28.5151,25.5307,28.691,67.44,42.947,45.18,35.9271,68.2297,0.1762,9.766881,21.0,6.0,6,Round of 64
Penn St.,B10,4,110.969,96.734,0.828748,59.224,44.253,14.049,27.93,32.1139,26.396,42.772,32.015,59.934,42.138,38.851,31.5149,73.321,0.3841,9.83117,23.0,6.0,5,Round of 32
Marquette   (H) 15 Purdue,BE,4,114.039,95.417,0.886423,52.8125,48.0116,12.719,25.313,29.5193,31.0215,37.1135,28.996,60.23,50.0161,30.4234,30.1115,71.386,1.04,10.089092,28.0,7.0,4,Sweet Sixteen
Baylor,B12,4,118.86,96.836,0.913211,56.646,53.5251,16.813,23.63,40.417,29.7183,33.6194,22.026,58.944,53.7226,35.8112,35.5256,68.3293,0.621,9.97712,27.0,7.0,6,Round of 64
Auburn,SEC,4,120.02,93.87,0.94464,64.06,39.815,14.152,17.4196,32.8115,28.3143,29.4263,24.553,70.61,39.113,37.669,27.868,70.9112,1.13,9.92288,25.0,7.0,6,Round of 64
Purdue   (A) 23 Marquette,B10,4,118.19,97.346,0.902915,62.07,48.4129,15.383,14.5295,28.2222,29.5178,44.354,21.825,57.568,51.6188,46.05,28.991,68.727,0.96,9.973664,26.0,7.0,6,Round of 64
Illinois,B10,3,113.541,94.611,0.890222,55.564,38.77,16.3118,15.9249,40.023,24.864,50.023,27.374,57.17,40.622,36.2108,23.08,72.536,0.1566,10.140579,30.0,8.0,6,Round of 64
Virginia,ACC,3,108.4105,96.835,0.786671,59.126,41.222,18.9224,17.3203,16.5358,21.318,27.3289,23.141,52.6152,37.57,44.69,30.0111,64.6363,0.443,10.192341,32.0,8.0,3,Elite Eight
Georgia   (H) 334 Alabama A&M,SEC,4,112.054,97.547,0.831945,53.5113,47.195,17.014,13.5317,42.96,23.139,48.328,22.429,58.747,50.7173,29.4255,28.071,70.7126,0.62,10.179303,31.0,8.0,6,Round of 64
Kansas St.   (H) 364 Mississippi Valley St.,B12,3,112.65,97.244,0.843843,54.296,48.6136,17.1145,23.433,34.094,41.335,32.4212,23.038,52.4155,44.864,37.864,37.1286,69.3228,-0.6164,10.138376,29.0,8.0,6,Round of 64
