TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed,predicted_postseason_label,predicted_postseason_description
Duke,ACC,4,118.85,90.33,0.95902,56.942,39.08,13.436,20.197,36.654,23.949,24.732,22.429,58.064,39.314,37.28,25.728,70.3158,-0.18103,10.271113,36.0,9.0,0,Winner
Rutgers,B10,3,113.342,95.518,0.877726,59.224,45.977,12.719,14.7288,25.6265,28.1137,47.932,19.18,62.517,38.511,35.6117,38.9313,69.918,0.1861,10.254378,35.0,9.0,6,Round of 64
North Carolina,ACC,3,118.01,95.62,0.91809,53.2121,48.0116,11.55,14.6291,34.29,24.254,39.797,21.218,53.5134,47.9115,35.1131,32.1167,73.615,-0.0489,10.199968,33.0,9.0,6,Round of 64
UCF   (H) 320 Tennessee Tech,B12,3,111.562,98.766,0.80226,50.6173,49.215,18.3197,17.4196,32.3128,29.7183,50.918,26.065,53.7128,48.1118,31.1219,33.7206,70.9113,0.98,10.242772,34.0,9.0,5,Round of 32
UCLA,B10,4,112.747,93.76,0.89332,51.1159,40.92,19.1236,27.46,38.635,25.066,36.4146,28.795,57.767,40.521,26.4308,27.764,66.7346,-0.38131,10.331474,37.0,10.0,3,Elite Eight
Alabama,SEC,4,118.94,95.723,0.92388,55.271,44.05,15.49,13.0334,33.895,25.476,50.221,33.2166,63.814,43.657,30.4234,29.8106,73.712,0.3444,10.37729,38.0,10.0,6,Round of 64
Connecticut   (H) 348 Texas A&M Commerce,BE,3,114.632,94.29,0.905214,61.78,39.612,14.664,21.565,42.96,16.86,31.4236,29.1103,67.73,36.74,37.086,30.6127,67.2333,0.0781,10.404095,39.0,10.0,4,Sweet Sixteen
Iowa St.,B12,3,114.237,90.32,0.93746,54.686,40.818,13.333,28.02,34.386,20.413,39.3104,21.017,59.835,43.05,31.0221,25.423,69.7193,0.1075,10.490488,40.0,10.0,2,Final Four
Missouri,SEC,4,115.424,102.0117,0.803958,59.028,48.1119,15.898,25.114,34.976,30.821,55.214,31.0131,61.921,43.759,36.891,37.8297,69.2239,-0.21104,10.552818,44.0,11.0,6,Round of 64
Clemson,ACC,4,112.649,98.461,0.826049,54.494,49.1147,15.9102,22.05,37.544,30.2195,32.0218,34.2185,53.6131,47.3103,37.183,34.4225,68.826,-0.2611,10.518805,43.0,11.0,5,Round of 32
Houston,B12,3,118.77,89.81,0.96111,55.76,44.151,14.458,27.84,41.112,23.744,29.0266,31.9147,48.9224,49.4149,48.23,25.423,65.9356,-0.1193,10.617688,46.0,11.0,6,Round of 64
Michigan St.   (H) 120 Samford,B10,4,112.153,94.913,0.872531,48.4224,43.139,15.073,18.1167,37.544,24.46,41.085,28.691,56.876,43.657,20.0359,28.174,69.4218,-0.1295,10.59683,45.0,11.0,6,Round of 64
Creighton,BE,4,116.313,96.025,0.900818,59.62,39.713,18.1183,13.7314,32.0143,26.292,34.3179,10.71,70.32,37.46,31.5211,28.377,69.7191,0.2154,10.490644,41.0,11.0,6,Round of 64
Arizona,B12,3,115.229,94.21,0.909512,50.2183,48.1119,13.643,20.683,50.01,15.23,44.256,48.1327,54.9105,45.175,27.4295,34.8237,74.66,-0.29112,10.491407,42.0,11.0,4,Sweet Sixteen
USC,B10,4,114.536,101.5103,0.799764,53.5113,52.9237,12.618,22.243,24.2299,29.7183,34.2183,41.1274,58.351,51.7189,29.8245,36.328,70.9115,-0.6157,10.721851,49.0,12.0,6,Round of 64
Cincinnati   (A) 182 Northern Kentucky,B12,3,115.325,96.024,0.892121,65.24,36.71,12.311,18.8142,42.08,29.3174,27.7279,21.218,65.39,36.12,43.314,25.527,68.7267,0.1271,10.807873,50.0,12.0,6,Round of 64
Wake Forest   (H) 247 Western Carolina,ACC,5,110.772,97.649,0.808755,51.3155,45.775,20.3273,21.76,28.9207,28.3143,40.689,24.35,60.131,42.947,26.8303,32.6182,70.5144,0.255,10.692476,47.0,12.0,6,Round of 64
Texas A&M,SEC,4,116.912,95.115,0.91471,53.7107,42.43,17.6161,17.9174,42.08,27.9131,47.633,39.625,52.1162,40.926,37.669,29.6102,68.1302,0.0978,10.720381,48.0,12.0,6,Round of 64
San Diego St.,MWC,3,104.7165,95.116,0.751377,47.7238,43.645,18.5207,11.835,23.1316,27.3117,29.7257,37.3223,45.3281,40.319,34.0151,32.6182,68.2298,-0.23107,11.009852,54.0,13.0,5,Round of 32
LSU   (H) 300 Charleston Southern,SEC,3,110.477,96.94,0.817453,56.352,39.19,20.1267,16.8214,33.797,26.292,42.374,32.2153,63.316,45.378,32.1197,16.41,71.0109,0.713,10.891284,52.0,13.0,4,Sweet Sixteen
Grand Canyon,WAC,3,112.055,99.778,0.791868,49.7197,57.0314,19.5251,21.369,34.386,23.037,48.328,38.824,50.4193,53.9231,32.3192,41.3343,71.296,-0.31115,10.882891,51.0,13.0,5,Round of 32
Xavier,BE,4,113.044,100.186,0.801662,56.646,47.611,14.049,19.3119,27.6231,24.152,43.96,26.065,50.8187,40.723,42.915,39.5318,70.4151,0.4136,10.974845,53.0,13.0,5,Round of 32
Washington,B10,4,107.7115,97.854,0.752276,41.9329,42.43,18.8217,18.3156,37.74,30.821,40.391,43.5302,44.6288,46.087,23.1344,22.65,71.482,-0.1192,11.164257,57.0,14.0,5,Round of 32
Arkansas,SEC,4,111.956,96.128,0.851937,55.564,47.4104,18.3197,24.024,24.8288,25.581,27.5283,19.913,58.255,50.0161,33.7155,29.51,70.8122,0.0284,11.019568,55.0,14.0,6,Round of 64
Utah St.,MWC,4,112.846,99.879,0.804157,60.215,50.0172,13.129,25.79,47.12,32.425,41.381,31.4138,61.823,49.0138,38.457,34.3223,71.385,0.2352,11.134205,56.0,14.0,5,Round of 32
Kent St.,MAC,3,103.3194,103.514,0.4949161,41.9329,54.2264,18.5207,13.133,31.6147,25.476,38.7109,40.6265,45.528,56.5286,24.4329,34.1216,67.8313,0.1173,11.190557,58.0,14.0,5,Round of 32
Rhode Island,A10,3,109.293,106.1198,0.582313,59.62,39.713,12.719,16.1243,21.434,29.0165,64.22,34.4188,61.028,41.231,37.571,25.423,71.388,0.088,11.261647,60.0,15.0,5,Round of 32
East Carolina,Amer,4,106.6132,103.8144,0.5774133,38.1351,44.557,13.231,18.3156,41.211,32.5253,59.07,36.1209,41.7325,42.745,22.0355,31.8161,67.6323,0.2648,11.280566,61.0,15.0,5,Round of 32
Davidson,A10,3,104.5168,104.1151,0.5119152,56.942,56.0301,18.7214,12.9338,36.158,22.73,55.612,33.6173,58.351,49.3147,36.111,44.4354,69.0244,0.2056,11.283176,62.0,15.0,5,Round of 32
VCU,A10,4,111.267,95.721,0.849239,54.0101,37.93,19.9261,25.61,34.386,28.214,42.076,39.7252,56.777,39.516,34.0151,22.65,70.0174,0.2846,11.231346,59.0,15.0,4,Sweet Sixteen
SMU,ACC,5,114.138,101.097,0.802759,54.782,43.747,16.0109,21.662,40.716,29.5178,38.7109,39.7252,52.8147,40.723,38.949,32.217,72.537,-0.36126,11.3658,63.0,16.0,4,Sweet Sixteen
Nebraska,B10,4,110.278,96.632,0.819352,47.8235,47.5107,18.8217,23.727,36.752,29.2171,52.217,21.523,53.6131,42.643,25.632,35.4252,70.8123,-0.31117,11.409451,65.0,16.0,6,Round of 64
West Virginia,B12,3,110.081,100.184,0.74758,51.4154,46.286,15.277,18.515,21.5339,30.5205,31.3237,31.2134,53.8123,46.591,32.6178,30.6127,70.6137,-0.1396,11.419017,66.0,16.0,5,Round of 32
George Washington,A10,4,108.7102,105.9194,0.5738134,52.9124,45.066,15.794,21.466,36.158,29.1169,41.282,20.315,63.415,42.542,25.0325,33.3193,70.9117,0.0977,11.423973,67.0,16.0,5,Round of 32
UMass Lowell,AE,4,105.6147,103.6141,0.5560141,45.3286,50.2182,20.6281,16.2238,20.4347,43.2357,48.727,35.3202,50.0195,49.7159,22.9347,34.4225,72.34,-0.5153,11.442281,68.0,16.0,5,Round of 32
Niagara   (A) 272 Bowling Green,MAAC,3,98.3303,110.832,0.2014321,49.6202,55.2283,17.817,15.7256,16.7357,40.3343,29.9252,42.9294,43.9302,53.4223,36.794,39.5318,69.4217,-1.224,11.391374,64.0,16.0,6,Round of 64
