,TEAM,predicted_seed_with_update
0,Duke,1.0
7,Alabama,1.0
3,Auburn,1.0
6,Kansas,1.0
12,Marquette,2.0
26,Oregon,2.0
4,Gonzaga,2.0
2,Tennessee,2.0
37,Memphis,3.0
5,Iowa St.,3.0
8,Kentucky,3.0
10,Florida,3.0
11,Mississippi St.,4.0
1,Houston,4.0
18,Texas A&M,4.0
16,Purdue,4.0
22,Michigan,5.0
9,Illinois   (A) 53 Northwestern,5.0
28,Mississippi,5.0
14,St. John's,5.0
24,North Carolina,6.0
38,Wisconsin,6.0
31,Pittsburgh,6.0
29,Michigan St.,6.0
20,Texas,7.0
30,Creighton,7.0
32,Clemson,7.0
39,Indiana   (H) 201 Miami OH,7.0
21,Baylor,8.0
19,Cincinnati,8.0
17,Maryland,8.0
58,Arizona St.,8.0
15,Texas Tech,9.0
54,San Diego St.,9.0
27,Georgia,9.0
49,Oklahoma,9.0
44,Iowa,10.0
40,Nebraska,10.0
13,UCLA,10.0
51,New Mexico,10.0
53,West Virginia   (H) 102 Georgetown,11.0
23,Arizona,11.0
67,UC Irvine,11.0
35,Saint Mary's,11.0
41,Penn St.,11.0
60,Utah St.,11.0
64,Butler,12.0
42,Arkansas,12.0
61,Vanderbilt,12.0
55,Louisville,12.0
33,VCU,13.0
45,Rutgers,13.0
34,Ohio St.,13.0
68,LSU,13.0
46,Dayton,14.0
43,Nevada,14.0
71,Washington St.,14.0
94,Wichita St.,14.0
65,North Texas   (A) 118 High Point,15.0
85,Washington,15.0
82,Wake Forest,15.0
83,UCF,15.0
48,San Francisco,16.0
47,Boise St.,16.0
36,BYU,16.0
72,Bradley,16.0
84,Virginia,16.0
52,Northwestern   (H) 10 Illinois,16.0
