TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Memphis,Amer,4,113.440,96.844,.859834,55.463,45.673,20.0267,18.9137,29.5194,29.4164,47.326,36.9226,48.6229,44.461,45.93,31.5146,72.824,+1.43
Nevada   vs. 41 VCU,MWC,5,111.855,95.729,.855935,60.013,43.339,16.3114,18.1167,31.7147,30.2196,47.924,37.0232,54.6106,43.855,47.12,28.364,66.9327,+0.0868
Arkansas   (H) 205 Little Rock,SEC,4,111.559,95.731,.852036,55.560,47.4102,18.3199,24.020,24.8299,25.568,27.5288,19.912,58.252,50.0162,33.7148,29.596,70.4108,-0.0073
Saint Mary's,WCC,5,114.529,98.365,.851937,53.6103,49.8171,14.768,15.5266,45.44,27.7119,43.948,31.6139,54.1119,45.879,35.0121,38.5314,65.4356,+0.812
Miami FL   vs. 91 Oklahoma St.,ACC,4,117.88,101.2105,.850938,63.03,49.5161,12.19,15.1277,29.5194,23.631,34.5171,40.0271,63.312,52.9211,41.717,29.386,69.1198,-0.7158
Oregon,B10,5,113.143,97.351,.849739,53.2112,45.057,14.352,18.2159,33.1106,26.9100,32.7207,25.352,56.576,46.485,31.9203,28.776,69.3188,+0.817
Mississippi,SEC,5,116.113,99.989,.849140,51.8147,49.2155,11.87,25.47,31.6150,24.247,36.1137,32.4153,50.3193,47.6108,35.9100,34.2218,68.8217,+0.5029
VCU   vs. 35 Nevada,A10,5,110.075,94.815,.846241,51.9145,40.011,19.9263,25.29,30.3173,28.6144,39.5101,40.9281,56.672,39.010,31.5214,28.468,69.8152,-0.36111
Georgia,SEC,5,111.853,96.637,.842842,54.975,45.057,18.1183,16.7220,45.44,23.124,53.615,22.427,60.131,47.098,30.9229,28.163,70.2126,+0.623
Wisconsin   vs. 68 UCF,B10,5,115.123,99.681,.841043,56.446,49.8171,13.330,19.2128,28.4216,28.7149,46.032,27.068,54.7104,48.2120,39.138,34.6235,68.1275,+0.813
Iowa   vs. 55 Utah St.,B10,5,114.728,99.577,.838144,57.337,48.7140,15.380,23.135,28.8210,29.5170,28.6275,19.09,56.672,56.1278,38.844,24.415,72.822,+0.625
Clemson,ACC,5,112.349,97.453,.836345,55.756,46.281,16.1105,21.167,35.367,29.4164,34.1183,34.3189,53.6128,45.171,39.236,31.9158,68.2266,-0.2193
Kansas St.   vs. 131 George Washington,B12,4,111.951,97.249,.834846,50.0185,47.8113,16.6126,24.020,38.722,37.0322,35.0161,21.219,51.4171,42.741,32.0200,38.3311,68.5241,-0.6154
Boise St.,MWC,4,112.548,98.158,.828747,51.7148,42.933,12.716,14.2310,33.792,29.7180,41.274,25.455,53.8122,47.098,31.7208,24.314,68.4253,-0.0072
