TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed,predicted_postseason_label,predicted_postseason_description
Mercyhurst,NEC,6,93.8356,112.1348,0.1142358,46.2262,52.7232,16.914,23.135,29.4198,40.3346,33.3193,40.1272,44.8292,54.9254,32.5179,32.4167,68.3259,-1.3227,7.149551934874275,36.0,9.0,6,Round of 64
Fairleigh Dickinson   (H) 0 VTSU Randolph,NEC,6,97.9303,113.6361,0.1520341,48.9214,56.8328,18.3199,13.1336,25.5282,38.1329,25.331,31.3132,47.3254,60.1337,34.2139,34.4224,72.821,-1.8273,6.918155263253066,34.0,9.0,6,Round of 64
VMI   (A) 152 Davidson,SC,6,88.8364,112.6351,0.0609364,44.4303,55.1283,16.6126,19.1131,28.4216,29.4164,31.7229,29.295,45.828,61.9348,28.3288,32.5169,71.849,-1.1206,6.834693801549232,33.0,9.0,6,Round of 64
Mercer,SC,5,102.5207,107.0234,0.3793219,48.9214,56.8328,20.6282,15.0279,23.931,31.4228,24.4322,44.6311,46.8262,61.3343,34.114,34.5233,71.463,-1.8267,7.2180198679168335,37.0,10.0,6,Round of 64
LSU   vs. 29 Pittsburgh,SEC,4,109.681,97.25,0.798562,55.756,39.67,19.2238,16.0244,34.186,29.6177,41.472,32.115,61.916,43.958,31.2222,19.71,70.1133,0.816,7.309977061211667,38.0,10.0,5,Round of 32
Denver,Sum,5,97.7305,109.4297,0.2133316,47.524,51.1197,26.636,16.8211,31.7147,35.0298,40.485,39.1256,47.2256,58.5318,32.1197,24.618,71.846,-1.0193,7.374100963844995,39.0,10.0,6,Round of 64
Connecticut,BE,4,114.135,93.57,0.908513,61.38,36.42,17.7165,22.447,41.77,22.32,29.626,31.3132,68.73,34.41,35.3112,27.341,67.2316,0.0966,7.563073739977337,40.0,10.0,4,Sweet Sixteen
Indiana,B10,4,114.43,96.635,0.875528,57.24,41.12,18.6212,19.3123,31.3157,30.3199,33.9189,23.637,58.842,41.531,35.7102,27.14,70.792,0.4633,7.69428957989971,41.0,11.0,3,Elite Eight
Quinnipiac,MAAC,5,99.5269,104.0154,0.3766221,44.1307,47.3101,19.2238,19.999,29.5194,41.0349,31.8224,30.0109,50.0196,47.5105,24.0342,31.4142,71.653,-0.6151,7.797580361869548,46.0,11.0,5,Round of 32
Samford,SC,6,109.29,104.2161,0.6308118,55.268,51.22,19.5252,19.5113,32.0135,37.5327,34.7168,47.1327,53.8122,57.3301,37.763,27.648,74.43,-0.8173,7.775856182340039,43.0,11.0,5,Round of 32
Michigan St.,B10,5,111.756,95.119,0.864833,50.0185,45.775,16.0101,19.8105,37.047,26.281,41.274,27.88,58.547,46.791,22.1357,29.596,68.9212,0.027,7.733841982731209,42.0,11.0,4,Sweet Sixteen
Eastern Illinois,OVC,5,98.2299,108.1257,0.2491291,43.4314,58.0342,18.7217,19.7108,23.6317,37.1326,24.3325,46.8326,41.8326,62.8353,31.8206,35.6262,68.8218,-1.5244,7.784808303907052,45.0,11.0,6,Round of 64
Kansas,B12,5,118.84,93.68,0.93926,57.337,44.248,12.82,17.5184,26.1268,25.056,25.9305,33.2169,60.229,46.183,34.3137,27.341,71.176,1.34,7.784305496570338,44.0,11.0,6,Round of 64
Central Connecticut,NEC,5,97.8304,106.7227,0.2701283,44.4303,51.5205,17.9174,20.192,23.2321,29.1157,29.3264,18.87,49.7203,60.2338,22.7352,28.468,67.8289,-1.7265,7.9942863307185466,50.0,12.0,6,Round of 64
Rutgers,B10,4,113.044,95.726,0.87183,56.15,45.365,13.639,14.3306,29.5194,26.588,45.339,17.15,56.576,42.639,36.88,33.319,69.4183,0.2345,7.899898269823941,48.0,12.0,3,Elite Eight
East Tennessee St.   (H) 323 USC Upstate,SC,4,104.8158,107.6243,0.4254199,52.1141,58.8347,15.587,19.3123,40.811,40.3346,36.8133,43.5305,52.9141,56.9296,34.0143,41.7353,68.2264,-1.7256,7.927244149027012,49.0,12.0,6,Round of 64
Maryland Eastern Shore,MEAC,7,95.1342,112.8353,0.1242356,50.0185,55.3287,15.689,12.435,23.5318,38.5333,37.1129,37.9243,48.6229,62.4349,35.1116,31.5146,68.6238,-3.7358,7.862087063016089,47.0,12.0,6,Round of 64
Southern Miss,SB,4,101.5225,108.2261,0.3253244,49.7198,57.033,19.3244,17.2195,23.7315,29.9186,33.2196,27.474,55.394,60.634,27.8296,33.8208,71.942,-1.2215,8.180554241453688,52.0,13.0,5,Round of 32
Idaho,BSky,5,104.5161,108.8278,0.3878212,52.1141,56.7324,22.0324,13.8316,23.1323,34.0283,35.1158,40.9281,46.3274,63.6356,39.735,31.6151,68.6236,-1.7255,8.31398485041385,54.0,13.0,6,Round of 64
Pittsburgh   vs. 62 LSU,ACC,5,114.331,96.636,0.874329,59.019,40.614,12.716,18.9137,29.9184,23.734,35.6147,29.295,61.521,40.421,37.075,27.341,69.1197,0.527,8.080694424117192,51.0,13.0,4,Sweet Sixteen
North Dakota   (A) 159 Loyola Marymount,Sum,4,100.1258,107.9252,0.298326,43.3318,55.1283,23.0336,15.0279,28.1221,24.043,34.3176,29.499,41.4329,64.8358,31.1224,21.22,69.2194,-0.8177,8.18190292148315,53.0,13.0,6,Round of 64
Marquette,BE,5,113.738,94.011,0.899518,52.6125,47.6108,11.98,24.715,27.424,28.2134,34.7168,30.2113,58.941,48.8129,30.7236,30.6122,70.697,1.51,8.642904494787874,57.0,14.0,4,Sweet Sixteen
Eastern Kentucky,ASun,4,103.2194,107.6244,0.3827217,53.6103,48.6137,17.9174,19.3123,36.849,39.334,16.236,33.918,52.5152,50.9182,36.786,30.1105,69.6173,-0.0982,8.629933672416259,56.0,14.0,5,Round of 32
Lipscomb,ASun,6,108.2104,105.0181,0.5856127,49.021,54.8279,16.2109,16.9206,20.2355,28.0129,23.1336,21.825,53.2138,56.8294,29.1273,34.5233,69.7166,-1.6252,8.324434406352765,55.0,14.0,5,Round of 32
Boise St.,MWC,4,112.548,98.158,0.828747,51.7148,42.933,12.716,14.231,33.792,29.718,41.274,25.455,53.8122,47.098,31.7208,24.314,68.4253,-0.0072,8.660253589068482,58.0,14.0,6,Round of 64
North Carolina   (A) 187 Hawaii,ACC,3,117.79,95.322,0.91889,53.2112,48.0118,11.53,14.6296,34.283,24.247,39.798,21.219,53.513,47.9115,35.1116,32.1161,73.115,-0.0478,8.753418719249513,59.0,15.0,6,Round of 64
Cornell,Ivy,5,106.912,109.7302,0.4278196,52.7123,49.8171,19.0229,17.7179,32.4123,38.7335,39.894,45.1315,59.437,50.3174,30.1248,32.6172,72.82,-1.424,8.832322868647285,62.0,15.0,5,Round of 32
Georgetown,BE,4,109.387,103.6149,0.6484112,48.8217,48.714,18.1183,20.682,38.626,30.0188,24.7317,18.87,54.0121,44.564,26.6316,37.6301,68.8219,-0.6148,8.757187289744948,60.0,15.0,5,Round of 32
Cincinnati,B12,4,115.321,95.73,0.894321,64.61,39.04,13.124,19.8105,37.444,32.1248,23.6333,19.21,63.113,38.99,44.96,26.229,67.9287,0.334,8.761043578036071,61.0,15.0,3,Elite Eight
Oklahoma,SEC,4,110.866,98.363,0.798463,56.051,46.889,14.971,24.914,34.477,23.734,28.3278,23.435,58.646,54.524,35.1116,24.719,69.319,0.0769,8.997960918814215,67.0,16.0,5,Round of 32
Texas A&M Commerce,Slnd,6,92.636,108.6275,0.1370344,46.2262,54.3267,24.3349,18.2159,27.2244,36.7318,28.8272,36.9226,50.8187,56.3288,26.8313,33.8208,70.698,-2.0287,8.978505878357009,66.0,16.0,6,Round of 64
VCU   vs. 35 Nevada,A10,5,110.075,94.815,0.846241,51.9145,40.011,19.9263,25.29,30.3173,28.6144,39.5101,40.9281,56.672,39.01,31.5214,28.468,69.8152,-0.36111,8.974065312232735,65.0,16.0,4,Sweet Sixteen
Kansas St.   vs. 131 George Washington,B12,4,111.951,97.249,0.834846,50.0185,47.8113,16.6126,24.02,38.722,37.0322,35.0161,21.219,51.4171,42.741,32.02,38.3311,68.5241,-0.6154,9.05186883649764,68.0,16.0,4,Sweet Sixteen
N.C. State   (H) 193 William & Mary,ACC,4,111.161,98.161,0.806354,55.17,43.845,15.893,23.232,32.3125,32.0246,43.057,29.295,61.222,49.3141,27.1306,22.25,70.2127,0.1458,8.861428989402864,63.0,16.0,4,Sweet Sixteen
Seattle   (H) 0 Northwest (WA),WAC,4,104.5162,102.3127,0.5607136,56.051,58.3344,18.1183,17.0203,28.222,20.99,41.769,35.2199,51.5166,61.8346,41.914,35.3252,68.4251,-2.3313,8.948195284512478,64.0,16.0,5,Round of 32
