,TEAM,predicted_seed_with_update
2,Tennessee,1.0
3,Auburn,1.0
5,Kansas,1.0
7,Alabama,1.0
33,Memphis,2.0
12,Marquette,2.0
4,Gonzaga,2.0
10,Purdue,2.0
8,Kentucky,3.0
28,Oregon,3.0
11,Florida,3.0
0,Duke,3.0
17,North Carolina,4.0
6,Iowa St.,4.0
1,Houston,4.0
18,Texas A&M,4.0
35,Wisconsin,5.0
13,St. John's,5.0
21,Baylor,5.0
58,Arizona St.,5.0
14,Cincinnati,6.0
19,Pittsburgh,6.0
23,Michigan,6.0
25,Mississippi St.,6.0
57,San Diego St.,7.0
9,Illinois,7.0
42,Indiana,7.0
32,Michigan St.,7.0
52,Oklahoma,8.0
45,New Mexico,8.0
30,Nevada,8.0
15,UCLA,8.0
16,Texas Tech,9.0
34,Georgia,9.0
43,Nebraska   (H) 211 North Florida,9.0
53,West Virginia,9.0
22,Ohio St.,10.0
20,Texas,10.0
38,Creighton,10.0
31,Saint Mary's,10.0
44,Louisville,11.0
37,Clemson,11.0
39,Mississippi,11.0
65,UC Irvine,11.0
54,Utah St.,11.0
24,BYU,11.0
26,Arizona,12.0
46,Iowa,12.0
62,Butler,12.0
41,Dayton,12.0
91,Wichita St.,13.0
36,VCU,13.0
63,North Texas,13.0
71,LSU,13.0
47,Rutgers,14.0
74,Wake Forest,14.0
77,Liberty,14.0
79,UCF   (H) 193 Cal Baptist,14.0
50,Northwestern,15.0
48,Penn St.   (H) 346 Buffalo,15.0
40,Arkansas,15.0
82,Washington,15.0
51,Boise St.,16.0
49,Kansas St.   (H) 361 Arkansas Pine Bluff,16.0
64,Vanderbilt,16.0
29,Maryland   (H) 350 Alcorn St. (won),16.0
70,Xavier   (H) 314 South Carolina St.,16.0
80,Virginia,16.0
