,TEAM,predicted_seed_with_update
1,Tennessee,1.0
3,Auburn   (A) 1 Duke,1.0
5,Kansas   (A) 40 Creighton,1.0
7,Alabama   (A) 20 North Carolina,1.0
4,Gonzaga,2.0
33,Memphis   (H) 111 Louisiana Tech,2.0
11,Marquette   (A) 7 Iowa St.,2.0
10,Purdue,2.0
8,Kentucky,3.0
16,Texas A&M,3.0
0,Duke   (H) 4 Auburn,3.0
29,Oregon   (A) 95 USC,3.0
2,Houston,4.0
13,Florida   (H) 80 Virginia,4.0
19,North Carolina   (H) 8 Alabama,4.0
6,Iowa St.   (H) 12 Marquette,4.0
12,St. John's,5.0
15,Pittsburgh   (A) 25 Mississippi St.,5.0
23,Michigan,5.0
22,Baylor   (A) 27 Connecticut,5.0
56,Arizona St.,6.0
28,Mississippi,6.0
38,Indiana,6.0
35,Wisconsin,6.0
9,Illinois,7.0
24,Mississippi St.   (H) 16 Pittsburgh,7.0
27,Georgia,7.0
31,Clemson,7.0
14,UCLA,8.0
44,New Mexico   (H) 209 San Jose St.,8.0
32,Michigan St.   (A) 98 Minnesota,8.0
59,San Diego St.   (A) 300 Fresno St.,8.0
17,Cincinnati,9.0
34,Saint Mary's,9.0
50,Oklahoma,9.0
51,West Virginia,9.0
21,Ohio St.   (A) 31 Maryland,10.0
40,Nebraska,10.0
66,UC Irvine,10.0
43,Iowa,10.0
18,Texas Tech   (H) 85 DePaul,11.0
39,Creighton   (H) 6 Kansas,11.0
25,Arizona,11.0
20,Texas   (A) 70 N.C. State,11.0
53,Louisville,11.0
52,Utah St.   (H) 178 Wyoming,11.0
41,Nevada,12.0
63,Butler,12.0
68,LSU,12.0
42,Arkansas,12.0
37,VCU   (H) 210 Georgia Southern,13.0
93,Wichita St.   (H) 350 Alcorn St.,13.0
71,Washington St.,13.0
64,North Texas,13.0
47,Dayton,14.0
46,Rutgers,14.0
72,Bradley,14.0
78,Liberty,14.0
85,Washington,15.0
45,Penn St.,15.0
81,Wake Forest,15.0
82,UCF,15.0
48,Boise St.,16.0
65,Vanderbilt   (A) 117 Virginia Tech,16.0
30,Maryland   (H) 22 Ohio St.,16.0
79,Virginia   (A) 14 Florida,16.0
54,Northwestern,16.0
36,BYU,16.0
