,TEAM,predicted_seed_with_update
2,Tennessee,1.0
5,Kansas,1.0
7,Alabama,1.0
13,Marquette,1.0
1,Duke,2.0
4,Auburn,2.0
8,Kentucky,2.0
15,Purdue,2.0
20,Baylor,3.0
10,St. John's,3.0
35,Memphis,3.0
3,Gonzaga,3.0
49,New Mexico   (H) 244 Texas Southern,4.0
33,Wisconsin,4.0
0,Houston,4.0
9,North Carolina,4.0
12,Cincinnati,5.0
21,Ohio St.,5.0
29,Indiana,5.0
24,Mississippi St.,5.0
22,Pittsburgh,6.0
25,Creighton,6.0
26,Florida,6.0
30,Nevada,6.0
14,Texas A&M,7.0
16,Arizona,7.0
41,Nebraska,7.0
6,Iowa St.,7.0
67,Arizona St.,8.0
17,Texas,8.0
39,Saint Mary's,8.0
36,Arkansas,8.0
18,Texas Tech,9.0
32,Michigan St.,9.0
38,Oregon,9.0
78,San Diego St.,9.0
68,LSU,10.0
34,VCU,10.0
19,UCLA,10.0
42,Georgia,10.0
74,UCF,11.0
23,Illinois,11.0
28,Michigan,11.0
11,Connecticut,11.0
45,Iowa,11.0
37,Mississippi,11.0
66,Wake Forest,12.0
58,Vanderbilt,12.0
43,Kansas St.,12.0
363,Mississippi Valley St.,12.0
358,Florida A&M,13.0
81,Saint Joseph's,13.0
86,Virginia,13.0
46,Northwestern,13.0
250,North Dakota,14.0
89,Washington,14.0
40,Rutgers   (A) 230 Kennesaw St. (lost),14.0
53,Utah St.,14.0
83,Wichita St.,15.0
54,Louisville,15.0
47,Boise St.,15.0
71,North Texas,15.0
70,McNeese St.,16.0
44,Clemson,16.0
51,N.C. State,16.0
273,Morehead St.,16.0
343,Houston Christian,16.0
79,Washington St.,16.0
