,TEAM,predicted_seed_with_update
3,Auburn,1.0
4,Tennessee,1.0
5,Kansas,1.0
7,Alabama,1.0
17,Marquette,2.0
19,Purdue,2.0
10,Baylor,2.0
9,Kentucky   (H) 330 Jackson St.,2.0
2,Gonzaga,3.0
0,Houston   (H) 147 Hofstra,3.0
14,St. John's,3.0
33,Memphis,3.0
22,Ohio St.   (H) 300 Campbell,4.0
1,Duke   (A) 12 Arizona,4.0
15,Creighton   (H) 52 Nebraska,4.0
8,North Carolina   (A) 186 Hawaii,4.0
49,New Mexico,5.0
13,Texas A&M,5.0
67,UCF,5.0
27,Indiana,5.0
345,Houston Christian   (H) 175 Rice,6.0
6,Iowa St.,6.0
23,Mississippi St.   (A) 58 SMU,6.0
36,Saint Mary's,6.0
30,Florida   (H) 122 Southern Illinois,7.0
32,Michigan St.,7.0
38,Oregon,7.0
69,Arizona St.,7.0
24,Illinois,8.0
42,Wisconsin,8.0
43,Iowa,8.0
18,Texas Tech,8.0
25,Michigan,9.0
189,UMKC,9.0
79,San Diego St.,9.0
29,Rutgers,9.0
59,Wake Forest,10.0
35,Arkansas   (H) 204 Little Rock,10.0
20,Cincinnati,10.0
21,UCLA   (H) 260 Cal St. Fullerton,10.0
362,Mississippi Valley St.,11.0
40,VCU,11.0
61,LSU,11.0
78,Washington   (H) 347 Alcorn St.,11.0
12,Connecticut,11.0
39,Mississippi,11.0
51,Nebraska   (A) 16 Creighton,12.0
28,Pittsburgh,12.0
16,Texas,12.0
73,McNeese St.,12.0
72,Virginia,13.0
138,UMass Lowell,13.0
45,Kansas St.,13.0
34,Nevada,13.0
46,Boise St.,14.0
47,Northwestern   (H) 245 Pepperdine,14.0
359,Florida A&M   (H) 0 Trinity Baptist,14.0
37,Miami FL,14.0
44,Clemson,15.0
82,Saint Joseph's,15.0
190,Wofford,15.0
11,Arizona   (H) 2 Duke,15.0
63,Notre Dame   (H) 231 Elon,16.0
41,Georgia,16.0
215,Georgia St.   (H) 250 North Carolina Central,16.0
280,Mount St. Mary's,16.0
288,Queens,16.0
76,Washington St.,16.0
