,TEAM,predicted_seed_with_update
2,Tennessee,1.0
3,Auburn,1.0
5,Kansas,1.0
7,Alabama,1.0
34,Memphis,2.0
14,Marquette,2.0
4,Gonzaga,2.0
11,Purdue,2.0
1,Duke   (H) 136 Seattle,3.0
8,Kentucky   (H) 221 Georgia St.,3.0
0,Houston,3.0
6,Iowa St.,3.0
32,Wisconsin,4.0
31,Oregon,4.0
18,North Carolina,4.0
19,Baylor,4.0
22,Florida,5.0
16,Texas A&M,5.0
10,St. John's,5.0
15,Mississippi St.,5.0
63,Arizona St.,6.0
23,Michigan,6.0
9,Illinois,6.0
12,Cincinnati,6.0
24,Pittsburgh   (A) 26 Ohio St.,7.0
30,Nevada,7.0
33,Michigan St.,7.0
42,Louisville,7.0
25,Ohio St.   (H) 25 Pittsburgh,8.0
28,Saint Mary's,8.0
13,UCLA,8.0
36,Clemson   (H) 359 Florida A&M,8.0
38,Mississippi,9.0
41,Nebraska,9.0
46,Indiana,9.0
48,New Mexico,9.0
53,Oklahoma,10.0
21,Arizona,10.0
20,Texas Tech   (H) 186 Northern Colorado,10.0
17,Texas   (H) 331 Delaware St.,10.0
37,Creighton,11.0
68,San Diego St.,11.0
69,LSU   (H) 319 Northwestern St.,11.0
35,VCU   (H) 0 Elizabeth City St.,11.0
40,Dayton,11.0
43,Georgia,11.0
77,Wichita St.,12.0
44,Iowa,12.0
79,UCF,12.0
64,North Texas,12.0
61,West Virginia,13.0
56,Utah St.,13.0
78,Liberty   (H) 0 Central Penn,13.0
45,Rutgers,13.0
66,Vanderbilt   (H) 296 Tennessee Tech,14.0
39,Arkansas,14.0
358,Florida A&M   (A) 37 Clemson,14.0
51,Boise St.,14.0
49,Kansas St.,15.0
47,Penn St.,15.0
74,Wake Forest,15.0
88,Virginia   (H) 307 Holy Cross,15.0
70,Xavier,16.0
29,Maryland,16.0
27,BYU,16.0
85,Washington,16.0
100,Louisiana Tech,16.0
363,Mississippi Valley St.   (A) 134 UC Santa Barbara,16.0
