TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Wichita St.,Amer,7,108.0113,100.181,.704992,47.9243,48.5121,13.316,15.9255,24.4314,28.9149,41.355,26.045,50.2198,52.3216,28.3307,28.853,70.082,+0.923
USC,B10,8,111.467,103.5129,.701293,52.7103,53.2267,15.679,19.791,24.3318,30.6207,34.1163,32.2154,55.676,53.0236,31.4237,35.7271,67.4232,-1.4144
Stanford,ACC,8,110.878,102.9118,.700694,50.5178,50.2171,13.824,20.571,35.945,24.229,38.582,40.3294,52.7142,52.0202,31.7226,31.3122,67.2243,-0.9115
UNLV,MWC,7,110.286,102.4114,.697595,52.0133,49.6156,16.7125,19.598,28.3216,34.2306,43.341,36.2226,49.2217,45.659,37.845,37.1313,66.2293,-1.3137
Yale,Ivy,8,112.855,105.1164,.692596,55.745,51.3203,14.949,14.7300,33.983,26.464,35.3141,43.3327,54.2110,48.4110,39.125,36.5303,67.3235,-2.1214
Minnesota   (H) 267 Bethune Cookman,B10,8,104.9177,98.051,.686697,47.0271,44.732,16.6120,20.081,29.2203,30.5204,36.8110,24.326,51.1180,45.763,26.6340,28.647,62.5362,-1.7171
Western Kentucky,CUSA,7,106.4151,99.574,.683498,48.0241,45.349,17.4165,17.9163,24.6309,27.495,37.992,42.2315,48.5232,48.8125,31.4237,27.023,73.72,-1.2131
Syracuse,ACC,6,110.680,103.6136,.678499,48.6225,51.2196,13.010,12.7348,31.4140,17.61,35.9127,29.5103,52.2153,54.2263,27.0332,31.5127,70.463,-0.592
Arkansas St.   vs. 174 Hofstra,SB,7,109.297,102.5115,.6768100,46.0296,43.924,15.988,18.2143,32.7118,33.2280,39.767,42.9322,51.0182,46.371,26.8337,26.621,69.2120,-0.7100
St. Bonaventure,A10,8,107.3129,100.787,.6755101,53.686,46.868,18.0192,19.791,32.2124,28.9149,36.7113,24.224,56.362,46.168,32.7188,31.8136,65.9300,+0.1256
Georgetown,BE,7,108.8100,102.2109,.6732102,52.3120,46.055,17.5169,23.315,36.932,30.6207,25.5322,22.915,56.457,40.99,30.3264,36.1289,68.3177,-0.4988
Rhode Island,A10,7,111.370,104.6152,.6707103,59.99,41.910,15.266,16.4237,27.1260,30.0190,51.94,28.687,59.824,44.034,40.014,25.513,71.041,+0.4445
Providence,BE,8,106.6146,100.383,.6699104,50.6175,45.551,18.4212,15.9255,37.824,21.79,35.2142,37.4249,51.6168,45.659,33.0180,30.189,64.8337,-1.7168
Florida Atlantic,Amer,9,110.977,104.4147,.6674105,55.841,52.8254,17.2152,18.6130,23.7325,29.0155,39.669,30.4116,54.5104,47.795,38.335,39.6347,71.432,-2.6251
Colorado St.,MWC,7,105.6166,99.472,.6662106,51.8142,48.9130,17.1142,20.279,23.9323,27.288,30.6241,36.6232,57.050,44.136,29.8276,38.2329,67.2248,-1.5153
Georgia Tech,ACC,7,109.691,103.3127,.6647107,50.4179,47.8101,14.237,14.6305,32.5121,25.646,31.5224,37.4249,51.4173,44.946,32.6192,35.3255,70.847,-1.9194
Colorado,B12,7,106.7143,100.686,.6625108,54.569,49.6156,21.9335,16.3244,30.2175,25.952,42.947,26.147,51.5170,51.4189,39.721,31.4124,67.7215,+0.0860
Seton Hall,BE,8,98.3305,92.94,.6574109,44.7320,44.732,22.1339,21.941,32.0129,26.360,34.0169,28.283,39.1358,46.371,37.451,28.647,62.9361,-2.3228
Louisiana Tech,CUSA,8,108.5106,102.5117,.6566110,54.077,46.972,17.4165,15.5271,28.9208,31.0227,38.189,26.756,55.287,48.5113,34.8113,29.774,66.9259,+0.0266
California,ACC,7,109.690,103.8139,.6516111,54.666,51.1195,19.5266,18.5135,34.669,26.155,47.717,30.2114,54.994,48.6118,36.176,36.8307,70.179,+0.2552
Lipscomb,ASun,8,107.7116,102.3111,.6449112,49.6196,49.8160,16.3104,18.6130,24.9299,28.0113,22.9345,19.42,52.6146,50.3167,30.7257,32.6160,68.2189,-1.6161
UAB   (H) 150 Middle Tennessee,Amer,8,113.151,107.5236,.6413113,50.8169,53.8283,15.471,16.2246,38.320,27.078,30.9232,31.3135,52.9138,54.2263,30.2265,35.4262,70.371,-2.9276
High Point,BSth,9,113.448,108.4254,.6280114,57.424,47.075,16.9132,16.3244,29.5192,33.4289,45.031,30.8124,56.653,45.049,39.125,33.7201,64.7344,-0.4485
Saint Louis,A10,6,111.864,106.9212,.6258115,55.156,50.5182,17.1142,14.4315,22.2342,26.870,32.8196,27.265,56.457,50.0156,35.790,34.1221,71.139,-1.1130
Murray St.,MVC,6,109.692,105.1163,.6191116,55.841,48.3113,16.4112,14.3320,26.3274,27.6100,49.211,36.9242,56.457,50.5175,36.660,28.955,67.2249,-0.8109
UC San Diego,BW,8,107.5123,103.1123,.6190117,52.4116,51.4210,13.111,22.923,24.5312,26.767,34.8152,37.7254,50.7189,50.3167,36.275,35.1249,65.8305,-0.8105
Troy   (H) 178 Eastern Kentucky,SB,7,105.4170,101.394,.6141118,51.5150,51.5213,23.4356,22.038,37.129,31.9254,33.8178,23.116,55.773,49.0133,29.9272,37.2316,68.6155,-1.4139
Virginia Tech,ACC,7,106.0156,101.9102,.6113119,47.4260,50.8191,21.6328,19.791,37.228,28.7140,40.856,34.5195,46.9275,55.3291,32.2203,30.189,66.6275,-2.3227
Samford,SC,9,111.371,107.2225,.6055120,57.028,53.1264,18.4212,22.133,35.059,38.5354,30.4248,37.6253,57.050,55.6296,38.041,32.7164,73.36,-0.698
Temple,Amer,7,108.7104,104.9161,.6000121,50.7170,44.530,15.679,14.9297,30.8158,34.9321,45.925,32.3155,51.4173,46.371,32.8183,27.527,69.791,-1.6167
Northern Iowa,MVC,7,107.0134,103.5131,.5951122,56.236,51.3203,18.2205,16.9221,16.5363,27.6100,25.3323,26.958,57.147,50.4172,36.464,35.7271,66.6281,-2.5242
Princeton,Ivy,9,110.679,107.1219,.5929123,54.960,53.8283,13.824,19.598,23.0333,28.0113,30.5244,32.1153,52.2153,54.9283,38.631,34.7242,67.4233,-1.8180
UC Santa Barbara,BW,7,109.789,106.4196,.5881124,59.113,44.026,18.5222,16.0252,33.0111,27.495,33.2190,25.440,60.117,44.034,38.631,29.367,66.0296,-0.591
Charleston,CAA,7,106.3153,103.0121,.5878125,52.6108,52.8254,19.9280,18.8119,28.3216,27.184,34.0169,31.6143,52.7142,53.9253,34.9110,34.1221,70.464,-0.7101
La Salle,A10,8,106.4150,103.4128,.5831126,49.8192,48.4115,14.440,15.8260,33.1107,25.850,34.3156,30.9127,49.4212,51.7193,33.7154,29.059,70.756,-1.0124
James Madison,SB,8,107.1132,104.1144,.5813127,52.6108,56.0327,18.7231,15.3277,35.257,19.53,26.7306,40.4296,51.9162,57.1320,35.695,35.7271,67.5226,-2.6250
Akron,MAC,6,108.2111,105.2166,.5806128,50.4179,52.7249,14.543,18.6130,35.552,34.1300,24.1335,29.7105,46.1293,53.8248,36.759,33.9211,68.5162,-0.8107
East Carolina,Amer,8,107.4127,104.5149,.5801129,46.3291,48.2111,13.316,18.9116,36.833,31.5242,43.146,34.8203,48.1245,47.490,28.7298,33.1179,65.6314,-0.3782
Davidson,A10,7,107.5122,104.6153,.5791130,53.393,54.1290,15.266,14.7300,23.4330,27.184,34.3156,33.7182,55.190,50.2164,33.8149,40.8355,68.2185,-0.1273
South Florida,Amer,7,106.9136,104.1143,.5754131,51.7143,50.5182,16.5115,15.7266,27.1260,27.6100,38.288,36.8240,55.190,53.9253,31.5235,30.189,69.4111,-1.6165
South Dakota St.,Sum,8,106.8141,104.1145,.5722132,54.471,47.075,17.8183,13.6338,30.8158,22.511,35.5134,30.4116,55.385,47.285,35.3102,31.2121,69.889,-0.7103
Sam Houston St.,CUSA,8,108.8101,106.1182,.5722133,51.6144,55.4316,18.5222,21.256,34.473,38.2351,33.7179,33.2172,46.7282,55.5293,39.915,36.8307,69.3113,-1.8182
UTEP,CUSA,7,102.8212,100.484,.5666134,46.9274,52.6247,17.9186,29.02,24.7305,34.5317,39.669,52.6358,42.1342,49.6144,37.155,37.9327,69.693,-1.1127
Seattle,WAC,7,104.0192,101.9100,.5584135,46.8278,57.0345,19.5266,18.7127,31.5135,22.511,45.130,36.0221,43.8325,62.6358,34.1139,33.6196,67.0255,-3.2303
George Washington,A10,8,107.9114,105.9178,.5541136,52.7103,47.797,16.9132,19.983,31.0153,29.4163,48.813,29.197,57.739,48.5113,31.2243,31.0111,69.2122,-0.1875
Furman,SC,8,103.8195,102.1105,.5483137,52.7103,46.564,18.1200,17.3200,21.6347,31.2236,29.3271,26.350,52.6146,52.4218,35.2103,23.82,66.9263,+0.636
Kent St.,MAC,8,101.7239,100.180,.5458138,42.3347,45.248,17.3158,19.598,34.180,27.6100,32.5204,43.9330,42.5339,46.982,28.0312,28.543,64.6347,-0.1071
Ohio,MAC,8,109.395,107.6240,.5450139,51.2157,55.5318,15.471,19.4102,26.2277,30.6207,34.2159,37.9258,51.8164,49.8149,33.7154,45.7363,69.696,-3.2302
Boston College,ACC,8,104.3185,102.9119,.5378140,48.6225,47.383,17.6173,17.4192,34.081,26.767,35.2142,35.4213,46.9275,48.0103,34.9110,30.8105,66.8265,-0.699
Southern Illinois,MVC,8,103.0206,101.799,.5368141,47.9243,49.9163,18.0192,14.6305,29.3198,29.7177,34.1163,31.7144,47.7256,50.0156,32.2203,33.1179,70.274,-3.0285
Columbia,Ivy,8,109.988,108.5258,.5361142,57.424,48.9130,16.5115,19.0112,33.2103,28.7140,32.7202,27.569,57.936,48.8125,37.944,32.8167,68.6153,+0.825
Vermont,AE,9,102.2225,101.091,.5349143,48.1236,48.7126,19.5266,17.8164,23.4330,32.9274,30.9232,28.687,46.8278,48.4110,33.2171,32.9173,64.4351,-2.1209
St. Thomas,Sum,8,106.7145,105.6172,.5295144,55.058,51.2196,18.6229,18.4138,24.1320,32.2258,26.3315,40.3294,55.482,54.0257,36.464,31.5127,66.6276,-2.3232
Purdue Fort Wayne,Horz,8,109.099,108.0247,.5264145,54.764,54.5301,13.316,21.064,28.2222,34.5317,28.9278,29.197,52.7142,58.4335,38.236,32.7164,68.6159,-1.4148
Towson,CAA,9,103.1204,102.3112,.5216146,42.6345,49.1136,15.782,17.6183,33.597,30.2196,33.1191,38.0259,43.2330,51.7193,27.6322,29.982,63.5357,-2.7256
Bryant,AE,8,105.6162,104.9160,.5208147,50.1184,48.9130,19.1246,17.1209,37.129,30.3198,32.8196,36.7237,44.9313,48.9130,39.817,32.5159,72.712,-3.0280
Illinois Chicago,MVC,8,107.5125,106.7203,.5207148,53.980,55.9325,20.3295,15.1286,32.8116,26.360,35.2142,39.6280,55.093,54.0257,34.7117,39.8349,70.370,-1.6157
Wright St.,Horz,9,108.3109,107.6237,.5201149,54.471,54.7305,15.157,15.1286,21.8344,24.331,24.8326,29.3100,54.798,55.7298,36.083,35.2253,68.2181,-2.0199
Middle Tennessee   (A) 113 UAB,CUSA,7,106.7144,106.0179,.5183150,51.5150,51.8225,17.7176,18.4138,35.355,26.767,33.7179,39.4277,54.896,55.9301,29.8276,30.498,67.8212,-0.9117
Appalachian St.,SB,8,102.2228,102.0103,.5062151,50.7170,47.488,19.9280,14.0330,29.9181,31.6245,36.4119,21.38,51.4173,51.2184,33.1175,28.238,64.8340,-1.6166
Texas St.   (A) 244 Texas Southern,SB,7,103.8194,103.7137,.5040152,48.7220,51.9228,19.3254,17.4192,31.0153,26.258,46.821,42.5319,47.1270,49.2137,36.176,37.0312,66.7273,-1.4143
Texas A&M Corpus Chris,Slnd,8,107.2131,107.0217,.5033153,58.517,52.9257,18.0192,18.9116,33.0111,33.6293,41.753,53.5359,57.641,56.0305,40.213,31.7134,70.466,-1.3135
UNC Wilmington,CAA,7,106.8137,106.7206,.5031154,46.8278,51.6220,15.157,17.5189,34.276,31.2236,50.78,35.0207,48.8225,55.1286,29.3287,31.0111,66.1295,-0.7104
Utah Valley,WAC,7,103.6198,103.5130,.5026155,52.1130,51.3203,20.8314,15.6268,35.748,23.017,44.832,39.1274,54.5104,47.795,31.0245,38.4335,68.9138,-1.9189
East Tennessee St.,SC,8,106.8140,106.7204,.5025156,53.198,50.4179,15.370,19.0112,40.29,28.5131,30.9232,36.2226,51.7165,54.3266,36.958,29.469,67.1252,-1.3134
Loyola Marymount,WCC,6,105.6161,105.6171,.5024157,46.4286,49.0133,13.111,17.4192,24.4314,26.973,21.9352,25.034,46.4288,46.474,30.9252,35.7271,66.7271,-2.0205
UMass Lowell   (A) 266 Central Connecticut (lost),AE,9,106.9135,106.9210,.5011158,51.4152,51.0194,20.1289,15.8260,26.8267,35.8330,40.363,28.994,51.5170,49.7147,34.2136,35.9281,70.849,-1.0125
